Survey_Date: 2019_10_09
Survey_Time: ?
1347,215962.385,595019.521,835.937,P21             
1348,215939.006,595010.398,839.619,P18 
1350,215931.074,594987.661,841.511,P13
1359,215916.151,595034.512,839.984,P24 
1371,215938.637,595083.346,835.277,P23
1377,215897.515,595091.792,835.042,P19             
1378,215930.994,595065.475,835.430,P15             
1379,215912.240,595056.451,837.209,P20             
1380,215895.962,595070.600,836.562,P16             
1381,215917.884,595048.839,837.981,P30
1383,215954.396,595061.807,835.235,P14
